Feature,Mean_abs_SHAP
IDH1,1.5795084
Age_at_diagnosis,0.5351579
TP53,0.39906165
PTEN,0.18236722
CIC,0.1442037
NF1,0.11938528
IDH2,0.1154824
ATRX,0.10958748
EGFR,0.07840127
MUC16,0.05771395
PIK3R1,0.04381245
NOTCH1,0.03604102
GRIN2A,0.03248652
Race_1,0.032025952
Gender,0.026655832
RB1,0.019293927
FUBP1,0.009351046
PIK3CA,0.007822507
Race_2,0.004392625
SMARCA4,0.003214748
CSMD3,0.0016957026
PDGFRA,0.0015147289
FAT4,0.0013237322
BCOR,0.0009429475
Race_3,0.0
