Comparison,AUC_A,AUC_B,Diff,DeLong_p,McNemar_p,Significant_at_0.05
XGBoost (full) vs. Age+IDH1,0.9172254800611113,0.8934945887346879,0.023730891326423365,0.0005739608590198397,0.014019277113959954,True
XGBoost vs. LR (same 23 features),0.9172254800611113,0.9170516608879418,0.00017381917316949824,0.965416100282136,,False
