Metric,Point_estimate,Bootstrap_mean,CI_lower_2.5%,CI_upper_97.5%
auc,0.9172,0.9173,0.8954,0.9372
accuracy,0.8746,0.8747,0.8493,0.8985
f1,0.8571,0.8569,0.8259,0.8862
average_precision,0.8816,0.8817,0.8397,0.9165
mcc,0.7481,0.7483,0.6973,0.7973
balanced_accuracy,0.8777,0.8778,0.853,0.902
brier,0.102,0.1019,0.087,0.1181
sensitivity,0.8968,0.8969,0.8607,0.9296
specificity,0.8586,0.8588,0.8213,0.8932
