Model,ECE,Slope,Intercept,Youden_threshold,Sensitivity,Specificity
XGBoost,0.0306,1.016,0.026,0.43,0.918,0.846
LogisticRegression,0.0279,1.083,-0.002,0.409,0.925,0.838
