Strategy,roc_auc_mean,roc_auc_sd,balanced_accuracy_mean,balanced_accuracy_sd,mcc_mean,mcc_sd,brier_mean,brier_sd
No resampling,0.9002,0.025,0.8349,0.0289,0.6677,0.0592,0.1209,0.0198
Class-weight (balanced),0.8996,0.0243,0.8334,0.0268,0.6646,0.055,0.1211,0.0197
SMOTENC,0.8974,0.0246,0.8354,0.0307,0.6656,0.0618,0.1239,0.0203
