Cost_ratio_FN_per_FP,Optimal_threshold,Sensitivity,Specificity,PPV,NPV
1.0,0.377,0.929,0.838,0.806,0.942
1.5,0.377,0.929,0.838,0.806,0.942
2.0,0.377,0.929,0.838,0.806,0.942
3.0,0.377,0.929,0.838,0.806,0.942
5.0,0.377,0.929,0.838,0.806,0.942
7.0,0.377,0.929,0.838,0.806,0.942
10.0,0.377,0.929,0.838,0.806,0.942
