Threshold,XGBoost_NB,XGBoost_NB_lo,XGBoost_NB_hi,Age+IDH1_NB,Age+IDH1_NB_lo,Age+IDH1_NB_hi,TreatAll_NB,TreatNone_NB
0.78,0.1323,0.0734,0.1879,0.0925,0.0331,0.1475,-1.6391,0.0
0.79,0.1187,0.0592,0.1764,0.0791,0.0174,0.1363,-1.7647,0.0
0.8,0.1075,0.0448,0.1687,0.0806,0.0283,0.1328,-1.903,0.0
0.81,0.0974,0.0335,0.1576,0.0766,0.022,0.1293,-2.0558,0.0
0.82,0.0912,0.0244,0.1544,0.0738,0.024,0.1227,-2.2255,0.0
0.83,0.0756,0.0104,0.1342,0.0613,0.0139,0.1098,-2.4153,0.0
0.84,0.0761,0.0131,0.134,0.0664,0.0227,0.1093,-2.6287,0.0
0.85,0.0796,0.0174,0.1368,0.0602,0.0189,0.0975,-2.8706,0.0
0.86,0.0925,0.0377,0.1444,0.0578,0.0243,0.0878,-3.1471,0.0
0.87,0.0993,0.0474,0.1462,0.0497,0.0233,0.0736,-3.4661,0.0
0.88,0.0841,0.0284,0.1343,0.0368,0.0104,0.0607,-3.8383,0.0
0.89,0.0756,0.0244,0.1223,0.0237,-0.0049,0.0463,-4.2782,0.0
0.9,0.0761,0.0194,0.1224,0.009,-0.0224,0.0299,-4.806,0.0
