Comparison,AUC_A,AUC_B,Diff,DeLong_p,McNemar_p,Significant_at_0.05
XGBoost (full) vs. Age+IDH1,0.9152723014573365,0.8934945887346879,0.021777712722648612,0.0010383261656290443,0.07248608508684644,True
XGBoost vs. LR (same 23 features),0.9152723014573365,0.9170516608879418,-0.001779359430605254,0.6286111863085191,,False
